order_id,order_date,product_id,product_name,category,price,quantity,payment_status
O101,2026-08-01,1,Mascara, beauty ,799,2,Paid
O102,2026-08-02,2,Eye Shadow,BEAUTY,1599,1,Paid
O103,2026-08-03,3,Face Powder,Beauty,1199,3,Paid
O104,2026-08-04,4,Lipstick,beauty,999,2,Pending
O104,2026-08-04,4,Lipstick,beauty,999,2,Pending
O105,2026-08-05,5,Nail Polish,BEAUTY,699,4,Paid
O106,2026-08-06,6,CK One Perfume,fragrance,3999,1,Paid
O107,2026-08-07,7,Coco Noir,Fragrances,,1,Paid
O108,2026-08-08,8,Dior Jadore,FRAGRANCES,7499,1,Paid
O109,2026-08-09,9,Dolce Shine,fragrance,5999,-1,Paid
O110,2026-08-10,10,Gucci Bloom,Fragrances,6499,2,Failed
O111,2026-08-11,1,Mascara,Beauty,849,2,Paid
