product_id,title,brand,category,api_price,rating,stock
1,Essence Mascara Lash Princess,Essence,beauty,9.99,4.94,5
2,Eyeshadow Palette with Mirror,Glamour Beauty,beauty,19.99,4.28,44
3,Powder Canister,Velvet Touch,beauty,14.99,3.82,59
4,Red Lipstick,Chic Cosmetics,beauty,12.99,4.51,68
5,Red Nail Polish,Nail Couture,beauty,8.99,3.91,71
6,Calvin Klein CK One,Calvin Klein,fragrances,49.99,4.85,17
7,Chanel Coco Noir Eau De,Chanel,fragrances,129.99,4.26,41
8,Dior Jadore,Dior,fragrances,89.99,4.31,91
9,Dolce Shine Eau de,Dolce and Gabbana,fragrances,69.99,3.77,3
10,Gucci Bloom Eau de,Gucci,fragrances,79.99,4.69,93
